"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones"
"Germany","Iran",1,NA,NA,NA,1
"Germany","Iran",2,NA,NA,NA,1
"Germany","Iran",3,NA,NA,NA,1
"Germany","Iran",4,NA,NA,NA,1
"Germany","Iran",5,NA,NA,NA,1
"Germany","Iran",6,NA,NA,NA,1
"Germany","Iran",7,NA,NA,NA,1
"Germany","Iran",8,NA,NA,NA,1
"Germany","Iran",9,NA,NA,NA,1
"Germany","Iran",10,NA,NA,NA,1
"Germany","Iran",11,NA,NA,NA,1
"Germany","Iran",12,NA,NA,NA,1
"Germany","Iran",13,NA,NA,NA,1
"Germany","Iran",14,NA,NA,NA,1
"Germany","Iran",15,NA,NA,NA,1
"Germany","Iran",16,NA,NA,NA,1
"Germany","Iran",17,NA,NA,NA,1
"Germany","Iran",18,NA,NA,NA,1
"Germany","Iran",19,NA,NA,NA,1
"Germany","Iran",20,NA,NA,NA,1
"Germany","Iran",21,NA,NA,NA,1
"Germany","Iran",22,NA,NA,NA,1
"Germany","Iran",23,NA,NA,NA,1
"Germany","Iran",24,NA,NA,NA,1
"Germany","Iran",25,NA,NA,NA,1
"Germany","Iran",26,NA,NA,NA,1
"Germany","Iran",27,NA,NA,NA,1
"Germany","Iran",28,NA,NA,NA,1
"Germany","Iran",29,NA,NA,NA,1
"Germany","Iran",30,NA,NA,NA,1
"Germany","Iran",31,NA,NA,NA,1
"Germany","Iran",32,NA,NA,NA,1
"Germany","Iran",33,NA,NA,NA,1
"Germany","Iran",34,NA,NA,NA,1
"Germany","Iran",35,NA,NA,NA,1
"Germany","Iran",36,NA,NA,NA,1
"Germany","Iran",37,NA,NA,NA,1
"Germany","Iran",38,NA,NA,NA,1
"Germany","Iran",39,NA,NA,NA,1
"Germany","Iran",40,NA,NA,NA,1
"Germany","Iran",41,NA,NA,NA,1
"Germany","Iran",42,NA,NA,NA,1
"Germany","Iran",43,NA,NA,NA,1
"Germany","Iran",44,NA,NA,NA,1
"Germany","Iran",45,NA,NA,NA,1
"Germany","Iran",46,NA,NA,NA,1
"Germany","Iran",47,NA,NA,NA,1
"Germany","Iran",48,NA,NA,NA,1
"Germany","Iran",49,NA,NA,NA,1
"Germany","Iran",50,NA,NA,NA,1
"Germany","Iran",51,NA,NA,NA,1
"Germany","Iran",52,NA,NA,NA,1
"Germany","Iran",53,NA,NA,NA,1
"Germany","Iran",54,NA,NA,NA,1
"Germany","Iran",55,NA,NA,NA,1
"Germany","Iran",56,NA,NA,NA,1
"Germany","Iran",57,NA,NA,NA,1
"Germany","Iran",58,NA,NA,NA,1
"Germany","Iran",59,NA,NA,NA,1
"Germany","Iran",60,NA,NA,NA,1
"Germany","Iran",61,NA,NA,NA,1
"Germany","Iran",62,NA,NA,NA,1
"Germany","Iran",63,NA,NA,NA,1
"Germany","Iran",64,NA,NA,NA,1
"Germany","Iran",65,NA,NA,NA,1
"Germany","Iran",66,NA,NA,NA,1
"Germany","Iran",67,NA,NA,NA,1
"Germany","Iran",68,NA,NA,NA,1
"Germany","Iran",69,NA,NA,NA,1
"Germany","Iran",70,NA,NA,NA,1
"Germany","Iran",71,NA,NA,NA,1
"Germany","Iran",72,NA,NA,NA,1
"Germany","Iran",73,NA,NA,NA,1
"Germany","Iran",74,NA,NA,NA,1
"Germany","Iran",75,NA,NA,NA,1
"Germany","Iran",76,NA,NA,NA,1
"Germany","Iran",77,NA,NA,NA,1
"Germany","Iran",78,NA,NA,NA,1
"Germany","Iran",79,NA,NA,NA,1
"Germany","Iran",80,NA,NA,NA,1
"Germany","Iran",81,NA,NA,NA,1
"Germany","Iran",82,NA,NA,NA,1
"Germany","Iran",83,2.49,1.92,3.19,1
"Germany","Iran",84,2.22,1.75,2.62,1
"Germany","Iran",85,2.12,1.71,2.35,1
"Germany","Iran",86,2.03,1.69,2.14,1
